date,platform,campaign_type,industry,country,impressions,clicks,CTR,CPC,ad_spend,conversions,CPA,revenue,ROAS,sessions,total_orders,new_customers,cvr_percentage,cac_usd
2024-03-07,Google Ads,Search,EdTech,UK,87152,3599,0.0413,2.63,9465.37,127,74.53,25958.5,2.74,3419,127,101,3.71,93.72
2024-08-16,Meta Ads,Shopping,Fintech,UAE,164096,1919,0.0117,0.66,1266.54,139,9.11,7181.17,5.67,1823,139,111,7.62,11.41
2024-08-10,Meta Ads,Shopping,Healthcare,Germany,21389,941,0.044,0.8,752.8,46,16.37,8479.43,11.26,893,46,36,5.15,20.91
2024-04-27,Google Ads,Shopping,Healthcare,India,69323,2169,0.0313,2.19,4750.11,94,50.53,16337.12,3.44,2060,94,75,4.56,63.33
2024-05-17,Google Ads,Display,SaaS,UAE,138291,3318,0.024,0.83,2753.94,217,12.69,12761.51,4.63,3152,217,173,6.88,15.92
2024-11-29,TikTok Ads,Shopping,EdTech,UK,72444,2339,0.0323,1.39,3251.21,153,21.25,12919.22,3.97,2222,153,122,6.89,26.65
2024-12-04,Google Ads,Search,Healthcare,UAE,160002,7520,0.047,2.96,22259.2,403,55.23,70823.58,3.18,7144,403,322,5.64,69.13
2024-08-12,Meta Ads,Search,E-commerce,USA,16246,448,0.0276,1.99,891.52,8,111.44,1955.09,2.19,425,8,6,1.88,148.59
2024-06-05,Meta Ads,Shopping,Fintech,Germany,15789,423,0.0268,1.81,765.63,7,109.38,1223.95,1.6,401,7,5,1.75,153.13
2024-06-05,Google Ads,Search,EdTech,Australia,25103,710,0.0283,2.34,1661.4,24,69.23,1896.75,1.14,674,24,19,3.56,87.44
2024-12-28,TikTok Ads,Display,SaaS,India,138515,4377,0.0316,0.51,2232.27,285,7.83,10321.59,4.62,4158,285,228,6.85,9.79
2024-02-20,Meta Ads,Search,EdTech,Australia,180399,6025,0.0334,0.7,4217.5,191,22.08,17456.79,4.14,5723,191,152,3.34,27.75
2024-05-16,Meta Ads,Video,E-commerce,UAE,62545,606,0.0097,1.96,1187.76,37,32.1,5627.66,4.74,575,37,29,6.43,40.96
2024-06-30,Google Ads,Shopping,Fintech,Canada,72526,2146,0.0296,1.56,3347.76,168,19.93,25859.74,7.72,2038,168,134,8.24,24.98
2024-07-07,Meta Ads,Display,EdTech,Australia,67823,2075,0.0306,1.83,3797.25,26,146.05,4093.91,1.08,1971,26,20,1.32,189.86
2024-06-23,Meta Ads,Display,E-commerce,India,164937,4453,0.027,1.08,4809.24,129,37.28,35127.5,7.3,4230,129,103,3.05,46.69
2024-12-14,Meta Ads,Search,EdTech,UK,114575,2039,0.0178,0.53,1080.67,113,9.56,10656.96,9.86,1937,113,90,5.83,12.01
2024-06-13,Google Ads,Shopping,Fintech,Germany,132157,2999,0.0227,0.93,2789.07,152,18.35,21855.26,7.84,2849,152,121,5.34,23.05
2024-01-11,TikTok Ads,Video,Healthcare,Germany,108145,3882,0.0359,0.94,3649.08,98,37.24,28726.52,7.87,3687,98,78,2.66,46.78
2024-04-29,TikTok Ads,Search,SaaS,India,72642,3014,0.0415,1.16,3496.24,59,59.26,15070.44,4.31,2863,59,47,2.06,74.39
2024-04-07,TikTok Ads,Display,Healthcare,UAE,131678,8374,0.0636,0.91,7620.34,505,15.09,29682.01,3.9,7955,505,404,6.35,18.86
2024-05-13,Google Ads,Video,E-commerce,Australia,34402,1314,0.0382,3.29,4323.06,17,254.3,1273.24,0.29,1248,17,13,1.36,332.54
2024-10-08,Meta Ads,Video,Healthcare,Germany,58276,1183,0.0203,1.49,1762.67,89,19.81,20273.71,11.5,1123,89,71,7.93,24.83
2024-08-14,Google Ads,Shopping,EdTech,Canada,168059,3462,0.0206,3.08,10662.96,154,69.24,33243.77,3.12,3288,154,123,4.68,86.69
2024-08-16,Meta Ads,Video,Fintech,Canada,91123,1567,0.0172,2.33,3651.11,64,57.05,5119.1,1.4,1488,64,51,4.3,71.59
2024-05-28,Meta Ads,Shopping,Fintech,Australia,16344,452,0.0277,0.9,406.8,5,81.36,1102.53,2.71,429,5,4,1.17,101.7
2024-03-26,TikTok Ads,Video,SaaS,UAE,99457,5808,0.0584,1.6,9292.8,80,116.16,12231.1,1.32,5517,80,64,1.45,145.2
2024-06-07,Meta Ads,Video,E-commerce,India,57375,843,0.0147,1.61,1357.23,40,33.93,9739.81,7.18,800,40,32,5.0,42.41
2024-04-17,Google Ads,Display,E-commerce,UAE,115017,2771,0.0241,2.56,7093.76,95,74.67,22528.38,3.18,2632,95,76,3.61,93.34
2024-09-28,Meta Ads,Search,EdTech,USA,90431,1853,0.0205,1.7,3150.1,57,55.26,14834.93,4.71,1760,57,45,3.24,70.0
2024-03-13,Meta Ads,Search,E-commerce,USA,140566,5046,0.0359,0.62,3128.52,384,8.15,59980.19,19.17,4793,384,307,8.01,10.19
2024-02-28,Meta Ads,Search,EdTech,Germany,133583,3954,0.0296,0.65,2570.1,255,10.08,31756.12,12.36,3756,255,204,6.79,12.6
2024-04-08,Google Ads,Video,E-commerce,USA,198555,13104,0.066,2.46,32235.84,336,95.94,58794.32,1.82,12448,336,268,2.7,120.28
2024-09-23,Meta Ads,Display,Healthcare,UK,88560,1319,0.0149,0.52,685.88,81,8.47,8584.02,12.52,1253,81,64,6.46,10.72
2024-06-24,Google Ads,Display,Fintech,UAE,117217,5602,0.0478,3.49,19550.98,411,47.57,75729.26,3.87,5321,411,328,7.72,59.61
2024-08-24,Meta Ads,Shopping,Fintech,UAE,104616,4048,0.0387,1.77,7164.96,233,30.75,45906.84,6.41,3845,233,186,6.06,38.52
2024-02-14,TikTok Ads,Video,Healthcare,Canada,79553,2712,0.0341,0.31,840.72,170,4.95,16973.79,20.19,2576,170,136,6.6,6.18
2024-08-20,Google Ads,Search,Fintech,USA,170904,4751,0.0278,1.12,5321.12,326,16.32,44297.15,8.32,4513,326,260,7.22,20.47
2024-07-14,Google Ads,Search,Healthcare,India,88807,4999,0.0563,2.37,11847.63,348,34.04,103474.34,8.73,4749,348,278,7.33,42.62
2024-08-14,Meta Ads,Shopping,EdTech,Canada,157499,1574,0.01,1.76,2770.24,45,61.56,13465.06,4.86,1495,45,36,3.01,76.95
2024-09-27,Meta Ads,Search,E-commerce,Australia,46846,983,0.021,0.72,707.76,11,64.34,2501.87,3.53,933,11,8,1.18,88.47
2024-09-18,TikTok Ads,Search,Fintech,Germany,104986,6131,0.0584,0.36,2207.16,219,10.08,57679.5,26.13,5824,219,175,3.76,12.61
2024-05-24,Meta Ads,Shopping,EdTech,India,172516,6314,0.0366,0.72,4546.08,335,13.57,82096.8,18.06,5998,335,268,5.59,16.96
2024-08-23,Meta Ads,Display,E-commerce,India,187099,2469,0.0132,0.83,2049.27,103,19.9,3413.17,1.67,2345,103,82,4.39,24.99
2024-04-04,Google Ads,Shopping,SaaS,India,111661,3930,0.0352,0.84,3301.2,310,10.65,21226.88,6.43,3733,310,248,8.3,13.31
2024-06-09,Meta Ads,Display,EdTech,Germany,79441,3082,0.0388,0.53,1633.46,100,16.33,29391.59,17.99,2927,100,80,3.42,20.42
2024-04-15,Google Ads,Display,SaaS,Australia,14078,763,0.0542,2.26,1724.38,57,30.25,16289.72,9.45,724,57,45,7.87,38.32
2024-01-07,Meta Ads,Shopping,Fintech,Australia,182235,5047,0.0277,0.74,3734.78,260,14.36,53450.65,14.31,4794,260,208,5.42,17.96
2024-02-24,Meta Ads,Video,SaaS,Canada,128629,2109,0.0164,1.29,2720.61,168,16.19,49256.62,18.1,2003,168,134,8.39,20.3
2024-04-02,Meta Ads,Display,Fintech,Canada,21309,432,0.0203,1.66,717.12,15,47.81,4449.98,6.21,410,15,12,3.66,59.76
2024-09-06,Google Ads,Search,Fintech,USA,167932,6717,0.04,2.46,16523.82,247,66.9,38475.06,2.33,6381,247,197,3.87,83.88
2024-01-08,TikTok Ads,Search,Fintech,UK,162795,8107,0.0498,0.96,7782.72,575,13.54,86383.64,11.1,7701,575,460,7.47,16.92
2024-08-18,Meta Ads,Search,EdTech,UK,50893,1124,0.0221,1.41,1584.84,29,54.65,2707.5,1.71,1067,29,23,2.72,68.91
2024-09-22,TikTok Ads,Display,SaaS,UAE,81619,3623,0.0444,0.47,1702.81,222,7.67,46448.44,27.28,3441,222,177,6.45,9.62
2024-07-25,Meta Ads,Search,EdTech,Germany,154381,1698,0.011,1.85,3141.3,70,44.88,19750.24,6.29,1613,70,56,4.34,56.09
2024-01-12,Google Ads,Search,Fintech,India,124273,3603,0.029,1.55,5584.65,167,33.44,20460.25,3.66,3422,167,133,4.88,41.99
2024-12-01,Meta Ads,Video,Healthcare,Germany,6969,176,0.0253,1.08,190.08,10,19.01,2562.91,13.48,167,10,8,5.99,23.76
2024-05-24,TikTok Ads,Display,SaaS,UK,29089,1076,0.037,0.65,699.4,40,17.48,8233.32,11.77,1022,40,32,3.91,21.86
2024-07-10,Google Ads,Shopping,SaaS,UK,10704,489,0.0457,1.71,836.19,36,23.23,5339.04,6.38,464,36,28,7.76,29.86
2024-12-04,TikTok Ads,Search,E-commerce,Australia,22772,1045,0.0459,0.95,992.75,38,26.12,5743.6,5.79,992,38,30,3.83,33.09
2024-04-11,Google Ads,Search,Fintech,Germany,68449,3285,0.048,2.38,7818.3,243,32.17,60681.21,7.76,3120,243,194,7.79,40.3
2024-10-26,Google Ads,Search,SaaS,UAE,51819,2497,0.0482,2.88,7191.36,138,52.11,37600.62,5.23,2372,138,110,5.82,65.38
2024-11-19,Google Ads,Video,Fintech,Australia,173722,3821,0.022,1.54,5884.34,201,29.28,44895.5,7.63,3629,201,160,5.54,36.78
2024-12-15,Google Ads,Shopping,SaaS,USA,119014,5938,0.0499,2.88,17101.44,95,180.02,23773.95,1.39,5641,95,76,1.68,225.02
2024-05-20,Google Ads,Search,SaaS,Australia,159741,6868,0.043,1.37,9409.16,336,28.0,33272.11,3.54,6524,336,268,5.15,35.11
2024-02-29,Google Ads,Shopping,Fintech,Germany,167982,7693,0.0458,2.64,20309.52,193,105.23,10777.69,0.53,7308,193,154,2.64,131.88
2024-06-08,Google Ads,Video,Fintech,Germany,96658,2822,0.0292,3.37,9510.14,112,84.91,25060.16,2.64,2680,112,89,4.18,106.86
2024-01-19,Meta Ads,Video,EdTech,India,43467,991,0.0228,1.9,1882.9,25,75.32,3146.23,1.67,941,25,20,2.66,94.15
2024-01-05,Google Ads,Search,EdTech,UK,41378,2023,0.0489,1.23,2488.29,73,34.09,9343.63,3.76,1921,73,58,3.8,42.9
2024-10-26,TikTok Ads,Video,EdTech,India,100673,5718,0.0568,1.05,6003.9,196,30.63,41067.13,6.84,5432,196,156,3.61,38.49
2024-12-13,TikTok Ads,Shopping,Healthcare,Australia,191994,14898,0.0776,1.08,16089.84,936,17.19,60355.75,3.75,14153,936,748,6.61,21.51
2024-05-21,TikTok Ads,Display,EdTech,UK,152235,6104,0.0401,0.73,4455.92,252,17.68,48424.44,10.87,5798,252,201,4.35,22.17
2024-12-07,Meta Ads,Video,Fintech,Australia,66929,1539,0.023,1.21,1862.19,38,49.01,9540.22,5.12,1462,38,30,2.6,62.07
2024-05-09,Google Ads,Video,SaaS,Canada,188202,7189,0.0382,1.15,8267.35,376,21.99,88923.49,10.76,6829,376,300,5.51,27.56
2024-01-25,Google Ads,Video,Fintech,USA,184316,4091,0.0222,1.04,4254.64,309,13.77,82363.46,19.36,3886,309,247,7.95,17.23
2024-09-10,Google Ads,Video,Healthcare,Canada,65545,3355,0.0512,1.77,5938.35,196,30.3,57936.29,9.76,3187,196,156,6.15,38.07
2024-06-04,Google Ads,Video,Healthcare,USA,33141,798,0.0241,3.29,2625.42,42,62.51,7236.65,2.76,758,42,33,5.54,79.56
2024-07-09,Meta Ads,Video,Healthcare,Germany,76229,1562,0.0205,1.01,1577.62,30,52.59,4290.5,2.72,1483,30,24,2.02,65.73
2024-11-09,TikTok Ads,Search,SaaS,Australia,141614,10677,0.0754,0.35,3736.95,305,12.25,62355.52,16.69,10143,305,244,3.01,15.32
2024-07-14,Meta Ads,Shopping,Healthcare,UK,161193,4916,0.0305,1.37,6734.92,377,17.86,91408.9,13.57,4670,377,301,8.07,22.38
2024-02-17,Google Ads,Search,SaaS,Germany,142244,4935,0.0347,2.98,14706.3,127,115.8,34307.21,2.33,4688,127,101,2.71,145.61
2024-03-27,Meta Ads,Search,Fintech,UAE,178063,1851,0.0104,0.45,832.95,64,13.01,7044.13,8.46,1758,64,51,3.64,16.33
2024-01-28,Google Ads,Video,Fintech,Australia,193978,5780,0.0298,1.73,9999.4,177,56.49,42071.17,4.21,5491,177,141,3.22,70.92
2024-02-18,Meta Ads,Display,SaaS,Canada,187051,6284,0.0336,2.01,12630.84,493,25.62,94906.46,7.51,5969,493,394,8.26,32.06
2024-01-11,Meta Ads,Video,EdTech,UK,152977,5491,0.0359,1.35,7412.85,147,50.43,9232.39,1.25,5216,147,117,2.82,63.36
2024-05-01,Google Ads,Display,E-commerce,UAE,129447,4310,0.0333,2.7,11637.0,211,55.15,16618.47,1.43,4094,211,168,5.15,69.27
2024-01-22,Google Ads,Shopping,Fintech,USA,28387,672,0.0237,3.32,2231.04,41,54.42,7232.57,3.24,638,41,32,6.43,69.72
2024-04-27,Meta Ads,Shopping,Fintech,Australia,88986,1308,0.0147,0.75,981.0,80,12.26,21439.34,21.85,1242,80,64,6.44,15.33
2024-01-10,Google Ads,Video,SaaS,UK,170268,7917,0.0465,3.14,24859.38,98,253.67,22672.12,0.91,7521,98,78,1.3,318.71
2024-01-20,Google Ads,Display,Healthcare,USA,122322,6152,0.0503,1.23,7566.96,155,48.82,10417.89,1.38,5844,155,124,2.65,61.02
2024-02-07,Meta Ads,Display,Healthcare,UK,69429,2430,0.035,1.59,3863.7,119,32.47,21584.01,5.59,2308,119,95,5.16,40.67
2024-06-07,Meta Ads,Display,SaaS,Canada,196675,4031,0.0205,1.97,7941.07,186,42.69,27686.79,3.49,3829,186,148,4.86,53.66
2024-05-25,Google Ads,Video,E-commerce,Australia,104134,3603,0.0346,3.46,12466.38,234,53.28,14496.48,1.16,3422,234,187,6.84,66.67
2024-12-24,Meta Ads,Display,EdTech,Canada,150544,2890,0.0192,1.7,4913.0,170,28.9,47769.42,9.72,2745,170,136,6.19,36.12
2024-10-28,TikTok Ads,Video,SaaS,Canada,75553,3331,0.0441,0.44,1465.64,203,7.22,33301.04,22.72,3164,203,162,6.42,9.05
2024-10-23,Meta Ads,Search,EdTech,India,149565,2437,0.0163,0.37,901.69,30,30.06,3133.33,3.47,2315,30,24,1.3,37.57
2024-04-15,Google Ads,Display,SaaS,India,12896,535,0.0415,0.98,524.3,20,26.21,2475.65,4.72,508,20,16,3.94,32.77
2024-05-22,TikTok Ads,Display,Fintech,Germany,70428,3310,0.047,1.17,3872.7,164,23.61,25462.93,6.57,3144,164,131,5.22,29.56
2024-06-09,TikTok Ads,Shopping,EdTech,USA,12345,456,0.037,0.62,282.72,21,13.46,5118.94,18.11,433,21,16,4.85,17.67
2024-11-25,Meta Ads,Display,SaaS,USA,18140,455,0.0251,1.15,523.25,29,18.04,1746.46,3.34,432,29,23,6.71,22.75
2024-02-18,Google Ads,Video,Fintech,Australia,42823,1588,0.0371,2.97,4716.36,33,142.92,3266.45,0.69,1508,33,26,2.19,181.4
2024-01-26,TikTok Ads,Shopping,SaaS,Germany,34118,1470,0.0431,0.85,1249.5,55,22.72,3037.11,2.43,1396,55,44,3.94,28.4
2024-01-08,Meta Ads,Video,EdTech,UK,127775,3871,0.0303,0.76,2941.96,159,18.5,28717.22,9.76,3677,159,127,4.32,23.17
2024-09-15,Google Ads,Shopping,Fintech,UAE,136354,3736,0.0274,1.16,4333.76,152,28.51,29811.83,6.88,3549,152,121,4.28,35.82
2024-10-28,Google Ads,Shopping,E-commerce,Germany,115454,7227,0.0626,2.46,17778.42,154,115.44,5144.22,0.29,6865,154,123,2.24,144.54
2024-06-02,Meta Ads,Search,EdTech,USA,37994,1379,0.0363,1.06,1461.74,58,25.2,7343.12,5.02,1310,58,46,4.43,31.78
2024-10-12,Meta Ads,Video,EdTech,Germany,74615,2327,0.0312,1.1,2559.7,129,19.84,25496.94,9.96,2210,129,103,5.84,24.85
2024-12-15,Google Ads,Search,EdTech,Canada,176790,4490,0.0254,1.49,6690.1,250,26.76,74442.63,11.13,4265,250,200,5.86,33.45
2024-10-29,Google Ads,Shopping,Fintech,Germany,60077,1994,0.0332,3.11,6201.34,28,221.48,7635.29,1.23,1894,28,22,1.48,281.88
2024-03-31,Meta Ads,Display,Fintech,Canada,151295,2163,0.0143,1.58,3417.54,85,40.21,3173.67,0.93,2054,85,68,4.14,50.26
2024-04-19,TikTok Ads,Display,E-commerce,Canada,20282,1740,0.0858,1.25,2175.0,94,23.14,14237.0,6.55,1653,94,75,5.69,29.0
2024-10-12,Google Ads,Search,Healthcare,Germany,185488,3950,0.0213,1.39,5490.5,289,19.0,75172.15,13.69,3752,289,231,7.7,23.77
2024-09-11,Meta Ads,Display,E-commerce,Australia,28567,999,0.035,1.69,1688.31,68,24.83,13037.25,7.72,949,68,54,7.17,31.26
2024-11-19,Google Ads,Search,E-commerce,UAE,96170,5145,0.0535,2.12,10907.4,268,40.7,72622.99,6.66,4887,268,214,5.48,50.97
2024-02-07,Meta Ads,Shopping,Healthcare,Canada,101019,2515,0.0249,1.69,4250.35,72,59.03,11353.12,2.67,2389,72,57,3.01,74.57
2024-03-01,TikTok Ads,Shopping,E-commerce,UK,91795,3800,0.0414,1.22,4636.0,157,29.53,24815.09,5.35,3610,157,125,4.35,37.09
2024-07-08,Meta Ads,Search,E-commerce,India,22543,333,0.0148,1.49,496.17,12,41.35,642.18,1.29,316,12,9,3.8,55.13
2024-02-28,Meta Ads,Shopping,Healthcare,Canada,119598,1064,0.0089,2.0,2128.0,64,33.25,17165.43,8.07,1010,64,51,6.34,41.73
2024-08-27,Meta Ads,Search,EdTech,UAE,158504,4897,0.0309,0.43,2105.71,255,8.26,54921.72,26.08,4652,255,204,5.48,10.32
2024-03-22,Google Ads,Display,E-commerce,Australia,39542,1209,0.0306,1.85,2236.65,42,53.25,7992.11,3.57,1148,42,33,3.66,67.78
2024-07-19,Google Ads,Display,Fintech,India,110848,3181,0.0287,2.45,7793.45,186,41.9,32321.78,4.15,3021,186,148,6.16,52.66
2024-12-22,Meta Ads,Video,Healthcare,Australia,79964,1487,0.0186,1.07,1591.09,22,72.32,3882.65,2.44,1412,22,17,1.56,93.59
2024-12-19,TikTok Ads,Display,EdTech,Germany,105127,7747,0.0737,0.88,6817.36,460,14.82,99299.9,14.57,7359,460,368,6.25,18.53
2024-01-07,Google Ads,Shopping,EdTech,UAE,73803,1505,0.0204,2.12,3190.6,98,32.56,18709.86,5.86,1429,98,78,6.86,40.91
2024-06-24,Google Ads,Shopping,Healthcare,UK,96575,4925,0.051,2.4,11820.0,181,65.3,7335.74,0.62,4678,181,144,3.87,82.08
2024-02-20,Google Ads,Shopping,Fintech,UK,162489,4500,0.0277,3.03,13635.0,184,74.1,54944.54,4.03,4275,184,147,4.3,92.76
2024-05-05,Meta Ads,Search,Healthcare,Canada,76155,3548,0.0466,1.25,4435.0,243,18.25,30659.34,6.91,3370,243,194,7.21,22.86
2024-12-06,TikTok Ads,Search,Fintech,UK,180021,13105,0.0728,1.61,21099.05,880,23.98,75656.62,3.59,12449,880,704,7.07,29.97
2024-04-13,TikTok Ads,Video,EdTech,UK,79965,3070,0.0384,1.02,3131.4,237,13.21,65306.0,20.86,2916,237,189,8.13,16.57
2024-05-28,Meta Ads,Search,EdTech,India,49789,622,0.0125,2.08,1293.76,48,26.95,7704.96,5.96,590,48,38,8.14,34.05
2024-04-11,TikTok Ads,Video,SaaS,Germany,195026,9653,0.0495,1.83,17664.99,371,47.61,94022.57,5.32,9170,371,296,4.05,59.68
2024-02-17,TikTok Ads,Shopping,Healthcare,Canada,130438,7721,0.0592,1.6,12353.6,353,35.0,70310.53,5.69,7334,353,282,4.81,43.81
2024-12-14,TikTok Ads,Shopping,SaaS,India,141917,4796,0.0338,0.66,3165.36,369,8.58,11953.05,3.78,4556,369,295,8.1,10.73
2024-11-22,TikTok Ads,Shopping,SaaS,USA,146958,7494,0.051,1.68,12589.92,538,23.4,117826.98,9.36,7119,538,430,7.56,29.28
2024-09-16,Google Ads,Video,E-commerce,UK,13605,300,0.0221,2.08,624.0,21,29.71,4495.51,7.2,285,21,16,7.37,39.0
2024-05-23,Google Ads,Display,SaaS,Germany,116041,6428,0.0554,1.75,11249.0,74,152.01,13873.48,1.23,6106,74,59,1.21,190.66
2024-09-25,TikTok Ads,Search,E-commerce,India,170396,10138,0.0595,1.08,10949.04,494,22.16,99795.18,9.11,9631,494,395,5.13,27.72
2024-02-22,Meta Ads,Display,EdTech,India,19743,619,0.0314,1.25,773.75,41,18.87,9219.46,11.92,588,41,32,6.97,24.18
